ra dec
53.10412683651438 -27.76822952278154
53.034377346126966 -27.772106705227486
53.08976593924565 -27.80042099294374
53.03650139765472 -27.845949960082038
53.09734227310538 -27.779396093534423
53.03015041584312 -27.84977682341561
53.08902547861537 -27.880763057018985
53.096635049986446 -27.875825501823325
53.09167646459417 -27.810771576693615
53.060616713137414 -27.782661433990555
53.03038898263504 -27.816625378158832
53.04446126818203 -27.815063819624775
53.07516388398112 -27.785794733278202
53.06003192260367 -27.795754380486542
53.02321526601873 -27.796150313338146
53.09397502961309 -27.872329968967716
53.09815278263461 -27.774068473501377
53.053873104937274 -27.837090852962127
53.038480705618305 -27.86228715100796
53.0351112585727 -27.81582536855438
53.080483675434344 -27.84414133391343
53.07078590045333 -27.82076976315355
53.071912722486296 -27.821392660690094
53.09226662495815 -27.831759992005637
53.081932559955234 -27.870284689325935
53.03343228307736 -27.858627890096155
53.06585246086552 -27.852634567656594
53.028547645808246 -27.816257398417978
53.0293865222754 -27.80713550136542
53.07410271156846 -27.847769767818193
53.07963637220343 -27.800279462506264
53.070656957078 -27.804471244829006
53.087968254264865 -27.894044170025534
53.077620332660366 -27.79588113015192
53.08037316961242 -27.824665700770105
53.086698131825216 -27.883010206049672
53.104845205763255 -27.866766127707596
53.095885916101494 -27.772369518255164
53.0480978558526 -27.850208981274832
53.084430698864345 -27.84852149867473
53.09586945611434 -27.834350393602328
53.08016121438979 -27.823762398995108
53.06383841679604 -27.839648731339384
53.06836307133633 -27.79904717596839
53.05202045669102 -27.875025320887524
53.05790779748784 -27.769202896224904
53.06087889470221 -27.786128423401536
53.0529993229519 -27.83165297088486
53.08588653194721 -27.844041648287345
53.06231888341768 -27.760630000583152
53.0495715620238 -27.840976004818078
53.06234524797601 -27.857402126262535
53.0522182880301 -27.814539860396007
53.06947373238277 -27.8825907374546
53.086848474860275 -27.799894161714835
53.036098627197966 -27.8235968006495
53.080728515120924 -27.815432547624656
53.0459228606642 -27.786906424029617
53.05935288583834 -27.8544639546886
53.07413706898907 -27.77714469342547
53.024813534978016 -27.811023920449184
53.08695469847392 -27.775247084480448
53.07091451287332 -27.829787219313257
53.06143318018424 -27.86914550005112
53.017851143619126 -27.784434743896124
53.058397230391336 -27.877540261528925
53.09020798421503 -27.882409797504675
53.04052642563923 -27.814557992781403
53.07660016889551 -27.779998083404262
53.100798141101585 -27.840796087771725
53.05177867862546 -27.78357574084959
53.08282886685725 -27.784863627458083
53.08519057629331 -27.81649048681946
53.0843113133864 -27.79162424942616
53.01832514838364 -27.786969657214847
53.062747422869286 -27.885045921463274
53.10379716626138 -27.82796783043267
53.08194724854488 -27.79437950308695
53.071372031704364 -27.80200544126351
53.031510233847754 -27.80762920941021
53.07276219004037 -27.816243838689548
53.05397368503924 -27.857821036259512
53.06988888585599 -27.762062566682342
53.042888057299045 -27.839091663711244
53.042086833344236 -27.857690803631545
53.09771730309165 -27.850209661839603
53.07611880822657 -27.776290349895834
53.066803532299026 -27.801182548686224
53.05308123168955 -27.815764101582875
53.055245511573865 -27.80933303702896
53.02870957380201 -27.785914994241416
53.08064444510058 -27.880219450508747
53.090050847259036 -27.794512036531792
53.01666957016288 -27.804770206677187
53.052881027529345 -27.823604828780535
53.029670411786704 -27.821946130716224
53.09058981452652 -27.776571694220333
53.09881962275869 -27.765993032040942
53.08396450417397 -27.849370522595052
53.09770432419217 -27.831950051855955
53.040682253838966 -27.80240973840275
53.06958781713609 -27.892564498121228
53.05771369313034 -27.867131945723575
53.06411775864335 -27.7812242372489
53.05749277868354 -27.76376027194801
53.06583017650769 -27.882809770764325
53.03422239061614 -27.861369692961166
53.08132854210308 -27.816345444765954
53.04688741618508 -27.85017564118587
53.04668356301417 -27.79193175295925
53.087511036920205 -27.840601835433038
53.09940135529651 -27.85913022189142
53.08816090123511 -27.887143589681486
53.10514056974072 -27.80437756227
53.04789395976313 -27.82767956011218
53.0541302631528 -27.860337310313167
53.06554978898979 -27.77273260047198
53.08949068584202 -27.85650736495708
53.09990239646487 -27.783216584998755
53.09385193479697 -27.834033287855757
53.05092607575963 -27.815833753532967
53.101104925488684 -27.840017606206796
53.071173850742646 -27.84795327526132
53.04495175375786 -27.83829672528095
53.01703953184994 -27.783879566136
53.10234276368331 -27.85347127063309
